appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu
7220,"Runaway, The Dream of The Turtle",Pendulo Studios,Focus Entertainment,,200,154,0,"100,000 .. 200,000",209,0,223,0,499.0,499.0,0.0,8
7260,Loki,Cyanide Studios,,,143,80,0,"20,000 .. 50,000",1484,0,1484,0,999.0,999.0,0.0,1
7510,X-Blades,Gaijin Entertainment,Topware Interactive,,1948,1225,0,"500,000 .. 1,000,000",324,0,338,0,1299.0,1299.0,0.0,132
7520,Two Worlds II HD,Reality Pump Studios,"Topware Interactive, ACE",,4224,2476,0,"500,000 .. 1,000,000",727,0,423,0,624.0,2499.0,75.0,27
7530,Two Worlds II Castle Defense,Reality Pump Studios,Topware Interactive,,352,324,0,"200,000 .. 500,000",304,0,331,0,999.0,999.0,0.0,124
7600,Sid Meier's Railroads!,"Firaxis Games, Feral Interactive (Mac)","2K, Feral Interactive (Mac)",,2301,950,0,"500,000 .. 1,000,000",229,149,114,149,249.0,999.0,75.0,73
7610,Railroad Tycoon 3,PopTop,2K,,900,269,0,"200,000 .. 500,000",295,0,97,0,999.0,999.0,0.0,42
7620,Railroad Tycoon II Platinum,PopTop,2K,,1162,133,0,"200,000 .. 500,000",721,0,42,0,499.0,499.0,0.0,86
7650,X-COM: Terror From the Deep,"MicroProse Software, Inc",2K,,788,79,0,"500,000 .. 1,000,000",3989,0,30,0,499.0,499.0,0.0,16
7660,X-COM: Apocalypse,"MicroProse Software, Inc",2K,,792,105,0,"200,000 .. 500,000",293,0,31,0,499.0,499.0,0.0,11
7670,BioShock,"2K Boston, 2K Australia",2K,,29127,1804,0,"2,000,000 .. 5,000,000",345,12,149,12,1999.0,1999.0,0.0,44
7760,X-COM: UFO Defense,"MicroProse Software, Inc",2K,,3602,197,0,"1,000,000 .. 2,000,000",495,0,28,0,499.0,499.0,0.0,49
7800,Stubbs the Zombie in Rebel Without a Pulse,Aspyr,Aspyr,,1987,299,0,"200,000 .. 500,000",226,112,191,112,1999.0,1999.0,0.0,6
7830,Men of War,"Best Way, Digitalmindsoft",Fulqrum Publishing,,3261,357,0,"500,000 .. 1,000,000",859,0,150,0,499.0,499.0,0.0,20
7840,Death Track: Resurrection,Sky Fallen,Fulqrum Publishing,,87,67,0,"50,000 .. 100,000",41,0,57,0,299.0,299.0,0.0,0
7860,NecroVision,The Farm 51,Fulqrum Publishing,,1181,554,0,"200,000 .. 500,000",285,88,207,88,499.0,499.0,0.0,0
7940,Call of Duty 4: Modern Warfare (2007),Infinity Ward,Activision,,23438,1632,0,"2,000,000 .. 5,000,000",1300,35,400,44,1999.0,1999.0,0.0,377
8000,Tomb Raider: Anniversary,Crystal Dynamics,Crystal Dynamics,,5488,1196,0,"500,000 .. 1,000,000",333,37,97,37,98.0,899.0,89.0,29
8140,Tomb Raider: Underworld,Crystal Dynamics,Crystal Dynamics,,4748,1438,0,"500,000 .. 1,000,000",258,0,73,0,98.0,899.0,89.0,19
8170,Battlestations Pacific,Eidos Studio Hungary,Square Enix,,1825,733,0,"200,000 .. 500,000",351,0,128,0,0.0,0.0,0.0,7
8190,Just Cause 2,Avalanche Studios,Square Enix,,46001,4738,0,"2,000,000 .. 5,000,000",871,1,186,1,149.0,1499.0,90.0,90
